gender,age,ethnic_group,social_class,religion,marital_status,income,education,party_id,eu_vote,x01_1,x01_2,x01_3,x01_4,x01_5,x01_6,wt_vote
female,18-24,british,working_class,no_religion,single,3,no_qual,labour,leave,0,0,0,0,1,1,1.1107528298625449
male,45-54,other,working_class,other_religion,single,2,below_gcse,labour,remain,1,0,1,0,1,1,0.5615211142592407
male,55-64,british,working_class,no_religion,widowed,3,no_qual,labour,leave,1,0,1,0,0,0,0.8408347817473373
female,65-74,british,working_class,christian,married,9,no_qual,labour,leave,1,1,0,0,0,1,0.9197548006046444
female,65-74,british,working_class,christian,married,10,undergrad,labour,remain,1,1,1,1,1,1,0.6517452869013777
female,25-34,british,middle_class,christian,married,14,postgrad,cons,remain,1,0,1,0,1,1,0.844501416833825
female,75-84,british,working_class,christian,married,15,no_qual,cons,remain,1,1,1,0,1,0,1.1537258112902318
male,65-74,british,middle_class,christian,married,3,no_qual,ukip,leave,0,0,1,0,0,1,1.0134657598826946
male,65-74,british,middle_class,christian,married,4,no_qual,cons,remain,1,1,1,0,1,1,1.724457796488803
female,35-44,british,middle_class,no_religion,married,12,a_level,cons,no_vote,1,0,1,0,1,0,0.83151152986019
male,55-64,british,working_class,christian,married,9,a_level,cons,leave,1,1,1,1,1,1,1.124358220876025
male,18-24,british,working_class,no_religion,single,8,undergrad,labour,remain,1,0,1,0,1,1,0.5996126588820428
female,75-84,british,working_class,christian,married,7,gcse,labour,remain,1,1,1,0,1,1,1.0072658301645174
female,45-54,british,middle_class,christian,married,13,undergrad,cons,leave,1,0,0,0,1,1,0.9465122255730742
male,85plus,british,working_class,no_religion,widowed,5,no_qual,cons,remain,1,1,1,1,1,1,0.6313332292192384
male,25-34,british,working_class,no_religion,married,8,below_gcse,labour,leave,1,0,0,0,0,0,1.106043108517683
male,18-24,british,working_class,no_religion,married,5,gcse,plaid_cymru,no_vote,0,0,1,0,0,0,1.0412809893295787
female,25-34,british,working_class,no_religion,single,9,a_level,no_party,leave,1,0,1,0,0,1,0.8656662681318305
male,35-44,british,working_class,no_religion,married,9,undergrad,labour,remain,1,0,1,0,0,1,0.8457660661822106
female,35-44,british,middle_class,no_religion,married,12,undergrad,lib_dem,remain,1,1,1,1,1,1,0.8851619331318789
female,35-44,british,middle_class,no_religion,separated,8,postgrad,labour,remain,1,0,1,1,1,1,0.38639742678939754
male,45-54,british,working_class,no_religion,married,10,a_level,labour,leave,1,0,1,0,0,1,1.9239357229935812
female,65-74,british,working_class,christian,separated,4,undergrad,labour,leave,1,1,1,1,1,1,0.32587264345068884
